ID,Agent,LCity,BZip,County
146555,Village Hot Spot,Clarksburg,26301,HARRISON
146556,Bridgeport Shop N Save,Bridgeport,26330,HARRISON
146554,Winfield Quick Stop,Winfield,25213,PUTNAM
146557,Ez Mart 3,Caldwell,24925,GREENBRIER
146558,Ez Mart 4,White Sulphur Springs,24986,GREENBRIER
146559,Ez Mart 5,Meadow Bridge,25976,FAYETTE
146566,Bryant'S Grocery,Verdunville,25649,LOGAN
146560,Barn Store,Gap Mills,24941,MONROE
146563,"Tunnelton Quik Stop, Llc",Tunnelton,26444,PRESTON
146553,Blue Knights West Virginia Ii,Clarksburg,26301,HARRISON
146467,Tracy'S Corner Grocery,Gerrardstown,25420,BERKELEY
146567,White'S Valley View Market Llc,Chester,26034,HANCOCK
146568,Traver'S Country Store,Hedgesville,25427,BERKELEY
146570,Little General #7590,Hernshaw,25107,KANAWHA
146571,Shop N Save #1189-2873,Martinsburg,25401,BERKELEY
146572,Shop N Save #2119-2880,Kearneysville,25430,JEFFERSON
146573,Shop N Save #965-2866,Hedgesville,25427,BERKELEY
146574,Shop N Save #2568-2881,Martinsburg,25401,BERKELEY
146575,Par Mar #70,Lookout,25868,FAYETTE
146576,Par Mar #71,Hico,25854,FAYETTE
146577,Par Mar #72,Mount Hope,25880,FAYETTE
146578,Par Mar #73,Charleston,25365,KANAWHA
146579,Brandywine General Store Llc,Brandywine,26802,PENDLETON
146581,Par Mar #74,Green Bank,24944,POCAHONTAS
146583,"Shop 'N Save East, Llc",Eden Prairie,55344,HENNEPIN
146569,Sheetz #612,Charleston,25313,KANAWHA
146582,South Branch Station,Moorefield,26836,HARDY
146580,Jane Lew All Star Foods,Jane Lew,26378,LEWIS
146585,"Walmart Stores East, Lp",Keyser,26726,MINERAL
146586,Wal-Mart #2474 Fuel,Keyser,26726,MINERAL
146590,Little General #7585,Logan,25601,LOGAN
146587,Mavericks Hot Spot #1,Morgantown,26505,MONONGALIA
146588,Mavericks Hot Spot #3,Morgantown,26508,MONONGALIA
146584,7-Eleven #34915a,Petersburg,26847,GRANT
146594,Par Mar #77,Ravenswood,26164,JACKSON
146589,Maw & Paw'S Grab & Go,Delbarton,25670,MINGO
146591,5 Stop Welltown,Martinsburg,25404,BERKELEY
146592,Us Gas And Food,Huntington,25705,CABELL
146597,City Mart,Princeton,24740,MERCER
146595,Bfs Saltwell #81,Bridgeport,26330,HARRISON
146601,Terra-Petro #1,Beaver,25813,RALEIGH
146602,Terra-Petro #2,Beckley,25801,RALEIGH
146593,Par Mar #76,South Charleston,25309,KANAWHA
146606,One Stop,Huntington,25705,CABELL
146607,One Stop,Huntington,25705,CABELL
146608,One Stop,Milton,25541,CABELL
146609,One Stop,Huntington,25705,CABELL
146605,Xpress Stop - Augusta,Augusta,26704,HAMPSHIRE
146612,Sassy'S 1,South Charleston,25309,KANAWHA
146599,"Tanks N' Tummies, Llc",Pineville,24874,WYOMING
146610,Cheat Lake Exxon,Morgantown,26508,MONONGALIA
146598,"Astro Exxon, Llc",Fairmont,26554,MARION
146616,"Stokes Grocery, Inc.",Buffalo,25033,PUTNAM
146614,Little General #7595,Crawley,24931,GREENBRIER
146620,River Country Store & Deli,Harpers Ferry,25425,JEFFERSON
146619,C&K Diner & Mini-Mart Llc,Lost Creek,26385,HARRISON
146615,Xtreme Sports,Bridgeport,26330,HARRISON
146617,Penn'S Market,Powellton,25161,FAYETTE
146618,Millers Kwik Stop Llc,Mount Zion,26151,CALHOUN
146600,7-Eleven #35933a,Charleston,25314,KANAWHA
146613,Sheetz #625,Huntington,25701,CABELL
146622,7-Eleven #35913a,Barboursville,25504,CABELL
146621,Mavericks Hot Spot #2,Morgantown,26501,MONONGALIA
146604,Eller'S Kwik Stop,Northfork,24868,MCDOWELL
146623,7-Eleven #35927a,Hamlin,25523,LINCOLN
146631,Omps Grocery,Bloomery,26817,HAMPSHIRE
146640,Laxton'S Pic Pac,Avondale,24811,MCDOWELL
146634,7-Eleven #34915j,Petersburg,26847,GRANT
146639,Economart,Fairmont,26554,MARION
146641,Pineville Ez Stop,Pineville,24874,WYOMING
146629,Sheetz #626,Fairmont,26554,MARION
146645,Wvl Promo Terminal,Charleston,25327,KANAWHA
146644,Greenbrier Hotel Corp,White Sulphur Springs,24986,GREENBRIER
146628,Reedy Grocery & More Llc,Reedy,25270,ROANE
146643,Hatfield'S Enterprises Of Wv I,Hanover,24839,WYOMING
146625,K & M Sales And Services,Webster Springs,26288,WEBSTER
146646,Par Mar #80,Apple Grove,25502,MASON
146649,"Panther Mart, Llc",Williamson,25661,MINGO
146647,Par Mar #25,Morgantown,26505,MONONGALIA
146611,Fast Lane Tobacco #332,Kermit,25674,MINGO
146654,Walmart Supercenter Fuel Kiosk,Keyser,26726,MINERAL
146650,The Rock,Lindside,24951,MONROE
146626,Jakki'S,Inwood,25428,BERKELEY
146630,The Starting Gate Pub,Charles Town,25414,JEFFERSON
146655,Rocs Local Market 638,Martinsburg,25403,BERKELEY
146656,Arrowhead Deli,Bluefield,24701,MERCER
146653,Corner Store The,Piney View,25906,RALEIGH
146651,Bobby'S Blue Ridge Emporium,Harpers Ferry,25425,JEFFERSON
146652,Bland St Bill Pay Center Inc,Bluefield,24701,MERCER
146648,Corner Shop,Beckley,25801,RALEIGH
146660,Par Mar #84,Elkins,26241,RANDOLPH
146658,Rt 73 Tobacco Shop,Fairmont,26554,MARION
146659,R & S Tavern Inc.,Huntington,25701,CABELL
146642,Vance'S Carryout,Verdunville,25649,LOGAN
146661,Kompack 2,Clarksburg,26301,HARRISON
146666,Ez Mart,Ronceverte,24970,GREENBRIER
146669,7-Eleven 35940a,South Charleston,25309,KANAWHA
146662,Sheetz #640,Parkersburg,26101,WOOD
146668,Bfs Weirton #84,Weirton,26062,HANCOCK
146670,Smoker Friendly'S Big Apple Li,Inwood,25428,BERKELEY
146671,Rygan Llc,Martinsburg,25405,BERKELEY
146672,Village Hot Spot,Clarksburg,26301,HARRISON
146673,Uncle Charlie'S,Clarksburg,26301,HARRISON
146667,Camden Corner Market,Huntington,25704,WAYNE
146674,Dunbar Food Mart,Dunbar,25064,KANAWHA
146675,Sheetz #643,Parkersburg,26101,WOOD
146688,Wvl Charleston Town Center,Charleston,25302,KANAWHA
146682,U Save Food Stores,Canvas,26662,NICHOLAS
146683,Starz Hot Spot @ Osage,Osage,26543,MONONGALIA
146685,Starz Hot Spot @ Greenbag,Morgantown,26501,MONONGALIA
146690,Mardi Gras Casino And Resort,Charleston,25313,KANAWHA
146697,Buffalo Wild Wings,Morgantown,26505,MONONGALIA
146698,Buffalo Wild Wings,Morgantown,26501,MONONGALIA
146699,Buffalo Wild Wings,Charleston,25313,KANAWHA
146693,Buffalo Wild Wings,Buckhannon,26201,UPSHUR
146694,Buffalo Wild Wings,Mount Hope,25880,FAYETTE
146696,Buffalo Wild Wings,South Charleston,25309,KANAWHA
146705,Buffalo Wild Wings,Bridgeport,26330,HARRISON
146678,Bramwell Outpost,Freeman,24724,MERCER
146707,Grube Inc,Defiance,43512,DEFIANCE
146704,Par Mar #89,Mineral Wells,26150,WOOD
146687,State Line Cafe & Hot Spot Nor,Wellsburg,26070,BROOKE
146709,The Liquor Lair Llc,Man,25635,LOGAN
146718,Cargo Store,Northfork,24868,MCDOWELL
146706,Quick Stop,Princeton,24740,MERCER
146708,New Mart,Ridgeley,26753,MINERAL
146713,Par Mar Store #95,Fairmont,26554,MARION
146715,Par Mar Store #94,Cabin Creek,25035,KANAWHA
146724,Rutter'S #73,Inwood,25428,BERKELEY
146712,Tropics,Morgantown,26508,MONONGALIA
