id,Agent,LStreet,LCity,LState,LZip,Deactivation,County
146951,One Stop #8536,I 79 & Route 3 Box 99,Fairmont,WV,26554,30-Jun-21,MARION
146955,One Stop #8531,191 Ambrose Ln,Princeton,WV,24740,30-Jun-21,MERCER
146956,One Stop #8006,12224 Coal River Rd,Whitesville,WV,25209,30-Jun-21,BOONE
146957,One Stop #8133,871 Robert C Byrd Dr,Sophia,WV,25921,30-Jun-21,RALEIGH
146958,One Stop  #8522,289 Oakwood Rd,Charleston,WV,25314,30-Jun-21,KANAWHA
146959,One Stop #8533,1932 Ritter Dr,Daniels,WV,25832,30-Jun-21,RALEIGH
146960,One Stop #8108,269 N Eisenhower Dr,Beckley,WV,25801,30-Jun-21,RALEIGH
146961,One Stop #8107,43 Middlebrook Dr,Foster,WV,25081,30-Jun-21,BOONE
146962,One Stop #8111,129 Lee St W,Charleston,WV,25302,30-Jun-21,KANAWHA
146963,One Stop #8508,1639 Washington St E,Charleston,WV,25311,30-Jun-21,KANAWHA
146964,One Stop #8109,2541 Mountaineer Blvd,South Charleston,WV,25309,30-Jun-21,KANAWHA
146965,One Stop #8514,1402 Kanawha Blvd W,Charleston,WV,25302,30-Jun-21,KANAWHA
146966,One Stop #8101,512 Maccorkle Ave,South Charleston,WV,25303,30-Jun-21,KANAWHA
146967,One Stop #8129,1962 Edens Fork Rd,Charleston,WV,25312,30-Jun-21,KANAWHA
146968,One Stop #8135,4117 1st Ave,Nitro,WV,25143,30-Jun-21,KANAWHA
146969,One Stop #8512,171 Barnett Run Rd,Bridgeport,WV,26330,30-Jun-21,HARRISON
146970,One Stop #8513,991 Fairmont Rd,Morgantown,WV,26501,30-Jun-21,MONONGALIA
146971,One Stop #8110,305 Justice Ave,Logan,WV,25601,30-Jun-21,LOGAN
146973,One Stop #8535,7716 Jerry West Hwy,Omar,WV,25638,30-Jun-21,LOGAN
146974,One Stop #8534,15 Ashford Hill Rd,Ashford,WV,25009,30-Jun-21,BOONE
146975,One Stop #8102,501 Maccorkle Ave,Saint Albans,WV,25177,30-Jun-21,KANAWHA
146976,One Stop #8103,320 Goff Mountain Rd,Charleston,WV,25313,30-Jun-21,KANAWHA
146977,One Stop #8115,4928 Maccorkle Ave,Charleston,WV,25304,30-Jun-21,KANAWHA
146978,One Stop #8517,81 Rhl Blvd,South Charleston,WV,25309,30-Jun-21,KANAWHA
146979,One Stop #8507,700 Maccorkle Ave,South Charleston,WV,25303,30-Jun-21,KANAWHA
146980,One Stop #8134,38001 Midland Trail E,Caldwell,WV,24925,30-Jun-21,GREENBRIER
146981,One Stop #8538,119 Diesel Dr,Delbarton,WV,25670,30-Jun-21,MINGO
146982,Par Mar Oil #129,7357 Southern Hwy,Rockport,WV,26169,30-Jun-21,WOOD
146983,Julia'S Bank,500 Williamsport Pike,Martinsburg,WV,25401,30-Jun-21,BERKELEY
146984,Grandview Market,2180 Grandview Rd,Beaver,WV,25813,30-Jun-21,RALEIGH
146985,Kroger,1213 Stafford Dr,Princeton,WV,24740,30-Jun-21,MERCER
146986,Kroger,101 Lee St W,Charleston,WV,25302,30-Jun-21,KANAWHA
146987,No. 4 Store,1111 No.4 Rd,Tunnelton,WV,26444,30-Jun-21,PRESTON
146988,Gary Bantam Market,5826 Black Diamond Hwy,Gary,WV,24836,30-Jun-21,MCDOWELL
146989,Food Lion,2110 Executive Dr,Salisbury,NC,28147,30-Jun-21,ROWAN
146990,Food Lion #871,85 Maddex Square,Shepherdstown,WV,25443,30-Jun-21,JEFFERSON
146991,Red Lightning,1413 Us Route 60 E,Huntington,WV,25705,30-Jun-21,CABELL
146992,New Pickaway Store #2,3801 Seneca Trl N,Sinks Grove,WV,24976,30-Jun-21,MONROE
146993,Par Mar Oil #149,219 Main St,Middlebourne,WV,26149,30-Jun-21,TYLER
146994,Par Mar Oil #150,17162 Veterans Memorial Hwy,Kingwood,WV,26537,30-Jun-21,PRESTON
146995,Sidetracked Bar & Grill,28 South Buffalo St,Rowlesburg,WV,26425,30-Jun-21,PRESTON
146996,Mileground Cafe,1001 North Pointe Plaza,Morgantown,WV,26505,30-Jun-21,MONONGALIA
146997,North Pole Ice,607 Monticello Ave,Clarksburg,WV,26301,30-Jun-21,HARRISON
146998,Kroger,240 Main St,Hinton,WV,25951,30-Jun-21,SUMMERS
146999,Sheetz #690,1865 Mileground Rd,Morgantown,WV,26505,30-Jun-21,MONONGALIA
147000,4 Sisters Market,4162 Hornet Hwy,Hundred,WV,26575,30-Jun-21,WETZEL
147001,Food Lion #663,96 Somerset Blvd,Charles Town,WV,25414,30-Jun-21,JEFFERSON
147002,Food Lion #1169,1713 Milford St,Clarksburg,WV,26301,30-Jun-21,HARRISON
147003,Food Lion #807,200 Morgan Square,Berkeley Springs,WV,25411,30-Jun-21,MORGAN
147004,Food Lion #820,2001 Hampshire Square,Romney,WV,26757,30-Jun-21,HAMPSHIRE
147005,7-eleven 25306b,201 Winchester Ave,Martinsburg,WV,25401,30-Jun-21,BERKELEY
147007,Food Lion #1150,600 Buckhannon Pike,Nutter Fort,WV,26301,30-Jun-21,HARRISON
147008,Food Lion #1270,308 Marion Square,Fairmont,WV,26554,30-Jun-21,MARION
147009,Food Lion #949,542 South Main St,Moorefield,WV,26836,30-Jun-21,HARDY
147010,Food Lion #2194,78 Worchester Dr,Falling Waters,WV,25419,30-Jun-21,BERKELEY
147011,Kendra's Hot Spot And Grill Ii,1801 Locust Ave,Fairmont,WV,26554,30-Jun-21,MARION
147017,Infoplace Usa,2399 Meadowbrook Mall 9014k,Bridgeport,WV,26330,30-Jun-21,HARRISON
147018,Big Apple Lounge,187 Sader Dr,Inwood,WV,25428,30-Jun-21,BERKELEY
147019,Par Mar Oil #155,100 Merchant Walk,Summersville,WV,26651,30-Jun-21,NICHOLAS
147020,Rowlesburg Mercantile,22 S Buffalo St,Rowlesburg,WV,26425,30-Jun-21,PRESTON
147021,Riesbeck's #20,155 North St,New Martinsville,WV,26155,30-Jun-21,WETZEL
147022,Par Mar Oil #127,6 East Gate Plaza,Morgantown,WV,26508,30-Jun-21,MONONGALIA
147023,Paradise Food Mart,202 Kruger St,Wheeling,WV,26003,30-Jun-21,OHIO
147024,Buckhannon Shop N Save Express,203 S Kanawha,Buckhannon,WV,26201,30-Jun-21,UPSHUR
147025,Par Mar Oil #156,802 Arnoldsburg Rd,Arnoldsburg,WV,25234,30-Jun-21,CALHOUN
147026,Bfs Foods #95,1055 Point Marion Rd,Morgantown,WV,26508,30-Jun-21,MONONGALIA
147027,Food Lion #1167,4803 Gerrardstown Rd,Inwood,WV,25428,30-Jun-21,BERKELEY
147034,7-eleven #35930a,3815 Maccorkle Ave Se,Charleston,WV,25304,30-Jun-21,KANAWHA
147035,T & T Grocery Llc,7299 Coal River Rd,Tornado,WV,25202,30-Jun-21,KANAWHA
147036,Alum Creek Quick Stop,392 Midway Rd,Alum Creek,WV,25003,30-Jun-21,LINCOLN
147037,Weis Markets #238,400 Enterprise Circle,Martinsburg,WV,25405,30-Jun-21,BERKELEY
147038,Shell,2009 N Jefferson St,Lewisburg,WV,24901,30-Jun-21,GREENBRIER
147039,Good Stuff Bar & Grill,5109 Big Tyler Rd,Cross Lanes,WV,25313,30-Jun-21,KANAWHA
147040,Black Bear Express Westridge,49 Red Dog Way,Morgantown,WV,26501,30-Jun-21,MONONGALIA
147041,Jay Meldi,100 Victory Lane,Williamson,WV,25661,30-Jun-21,MINGO
147042,Rikans Gas & Food Center,401 Bridge St,Huntington,WV,25702,30-Jun-21,CABELL
147043,Pipestem Rv Park & Campground,9333 Sr 20 S,Pipestem,WV,25979,30-Jun-21,SUMMERS
147044,Mountaineer Market,605 Rogers St,Princeton,WV,24740,30-Jun-21,MERCER
147045,Fairmont N & Out #2,1610 Locust Ave,Fairmont,WV,26554,30-Jun-21,MARION
147046,Fairmont N & Out #3,726 Fairmont Ave,Fairmont,WV,26555,30-Jun-21,MARION
147047,Par Mar Oil #157,655 Point Mountain Rd,Webster Springs,WV,26288,30-Jun-21,WEBSTER
147048,D & H Operating Llc,4372 Coal Heritage Rd,Bluefield,WV,24701,30-Jun-21,MERCER
147049,D & H Operating Llc,4179 New Hope Rd,Bluefield,WV,24701,30-Jun-21,MERCER
147050,D & H Operating Llc,1100 Mercer Mall Rd,Bluefield,WV,24701,30-Jun-21,MERCER
147051,Campbells Creek Exxon,332 Campbells Creek Dr,Charleston,WV,25306,30-Jun-21,KANAWHA
900000,Ops Noc 5,1700 Maccorkle,Charleston,WV,25314,30-Jun-19,KANAWHA
900001,Ops Noc 6,1700 Maccorkle,Charleston,WV,25314,30-Jun-19,KANAWHA
900002,Ops Noc 5,Bdc,Fairmont,WV,26554,30-Jun-19,MARION
900003,Ops Noc 6,Bdc,Fairmont,WV,26554,30-Jun-19,MARION
